Age,Gender,County,Monthly_Income,Loan_Amount,Loan_Term_Days,Loan_Purpose,Mpesa_Transactions,Mpesa_Volume,Previous_Loans,Previous_Defaults,Repayment_Score,Credit_Score,Loan_Repaid
55,Male,Nairobi,27548,49288,30,Business,187,23116,2,0,0.523,0.598,1
29,Male,Machakos,35569,28003,14,Personal,184,23656,2,1,0.593,0.544,1
40,Female,Nakuru,27153,9913,14,Farm Inputs,119,10998,3,0,0.453,0.563,1
59,Female,Nakuru,40429,49077,14,Business,175,9385,3,1,0.611,0.584,0
39,Female,Machakos,17059,12141,14,Personal,130,15171,2,0,0.55,0.598,0
38,Male,Kisumu,11313,43900,14,Personal,128,14435,6,2,0.579,0.519,1
44,Male,Kisumu,28697,30399,14,Farm Inputs,158,21811,4,1,0.805,0.681,1
48,Male,Kisumu,24073,47647,60,Business,120,14975,3,0,0.985,0.825,1
23,Female,Nakuru,31514,27438,14,School Fees,107,21878,2,1,0.652,0.568,0
44,Male,Nakuru,24671,45963,14,School Fees,6,10233,3,0,0.459,0.562,1
57,Female,Nairobi,20919,1394,30,Business,187,16448,1,0,0.645,0.651,1
51,Male,Machakos,24100,45362,14,Personal,94,19791,1,0,0.549,0.607,0
29,Female,Mombasa,25346,35521,14,Personal,22,12728,4,0,0.762,0.715,0
62,Female,Nairobi,21340,30436,30,Business,182,14411,2,0,0.658,0.658,0
24,Male,Kiambu,22562,31260,30,School Fees,49,28735,4,1,0.666,0.603,0
27,Female,Nakuru,20156,35278,14,Emergency,19,24625,3,0,0.492,0.573,0
62,Female,Nairobi,35279,23741,60,Farm Inputs,139,6719,4,0,0.711,0.703,1
34,Female,Machakos,27328,46942,30,Business,159,17094,5,1,0.637,0.605,1
43,Male,Kiambu,52081,29266,30,Emergency,44,1290,2,0,0.601,0.67,1
38,Female,Meru,26928,21519,14,Farm Inputs,21,18223,2,0,0.717,0.694,0
45,Male,Nairobi,18389,28291,30,Emergency,164,9044,0,0,0.771,0.71,1
63,Male,Machakos,57048,24692,14,Emergency,148,13579,5,2,0.616,0.584,0
19,Female,Machakos,29963,40265,60,Farm Inputs,195,19075,4,1,0.911,0.735,1
60,Male,Nakuru,36881,29680,60,Emergency,82,16926,6,0,0.557,0.627,1
18,Female,Mombasa,32105,44020,14,School Fees,192,9294,1,1,0.67,0.528,1
53,Male,Nairobi,32476,44306,60,Business,109,5673,2,0,0.699,0.693,0
43,Female,Machakos,31427,42505,14,School Fees,86,17934,3,1,0.431,0.483,1
46,Male,Kisumu,11774,38101,30,School Fees,90,9989,3,0,0.605,0.618,1
38,Female,Machakos,29410,30399,30,Farm Inputs,184,13232,1,0,0.817,0.748,1
28,Female,Mombasa,9101,48302,14,Farm Inputs,84,6408,3,0,0.676,0.65,1
57,Female,Machakos,22907,36202,14,Farm Inputs,53,1000,2,0,0.696,0.678,0
28,Female,Nakuru,16292,13071,30,Emergency,53,19343,1,0,0.469,0.556,0
53,Male,Meru,29289,871,14,Emergency,158,11762,4,2,0.635,0.537,0
56,Male,Nairobi,29009,30693,30,Business,183,9603,4,0,0.513,0.595,0
57,Female,Nakuru,30773,15886,14,Emergency,47,24689,2,0,0.586,0.634,1
52,Male,Nairobi,28447,40266,30,Business,74,20671,2,0,0.577,0.626,1
51,Female,Kiambu,17718,14964,60,School Fees,75,17770,0,0,0.932,0.79,1
64,Female,Nairobi,21867,18287,60,Business,13,15682,5,0,0.649,0.653,0
41,Male,Kiambu,36044,21486,30,Business,176,5670,2,0,0.724,0.71,1
39,Male,Nakuru,37814,49525,30,Farm Inputs,196,18859,1,0,0.623,0.662,1
22,Female,Kisumu,11238,29151,30,Emergency,94,23811,2,0,0.741,0.685,0
50,Male,Mombasa,6628,46674,30,Personal,6,14765,2,0,0.49,0.554,1
53,Female,Kisumu,16277,21557,30,Personal,168,23216,5,0,0.531,0.587,0
64,Male,Kiambu,37542,30372,60,Farm Inputs,7,8961,5,1,0.735,0.668,0
37,Male,Machakos,39578,11212,30,School Fees,186,4530,1,0,0.589,0.647,0
36,Male,Machakos,13903,17891,14,School Fees,153,10699,2,2,0.777,0.507,0
52,Male,Kisumu,28687,28422,60,School Fees,199,16570,1,0,0.343,0.51,0
60,Male,Machakos,47013,1167,30,Business,13,15025,2,0,0.584,0.654,1
34,Female,Kiambu,29983,16825,14,Emergency,16,13000,2,1,0.91,0.695,0
62,Male,Nakuru,42058,1946,60,School Fees,169,18721,4,1,0.992,0.792,1
60,Male,Mombasa,36984,16390,14,Personal,169,14252,2,0,0.66,0.679,0
51,Female,Meru,14077,26983,30,Business,108,5158,0,0,0.622,0.63,1
26,Female,Nairobi,22720,27443,14,School Fees,199,18517,0,0,0.766,0.713,1
43,Female,Kiambu,25417,27181,14,School Fees,60,10443,2,0,0.702,0.685,1
19,Male,Meru,26249,37636,60,Emergency,109,16018,3,0,0.527,0.598,1
26,Male,Kiambu,35995,38585,14,Emergency,67,12372,1,0,0.751,0.723,1
26,Female,Nairobi,29904,36297,14,Business,158,5111,5,2,0.619,0.55,1
57,Female,Nairobi,5000,41500,60,Personal,50,17429,2,0,0.743,0.678,0
34,Female,Mombasa,9245,13525,30,Farm Inputs,185,10389,4,0,0.84,0.732,1
18,Female,Mombasa,5000,30440,14,Personal,64,8488,4,0,0.58,0.597,0
42,Male,Mombasa,27104,23263,30,Emergency,36,11902,3,0,0.561,0.617,1
60,Male,Machakos,27885,25201,60,Emergency,95,17643,2,1,0.739,0.607,1
57,Male,Kiambu,28398,17661,30,Farm Inputs,194,15157,5,2,0.868,0.672,1
59,Male,Nakuru,13492,42295,14,Personal,179,7610,3,0,0.827,0.732,1
42,Male,Nairobi,33089,25954,14,Personal,65,12483,3,0,0.43,0.559,0
56,Female,Kiambu,33595,37757,30,Farm Inputs,98,18328,3,0,0.545,0.617,0
52,Male,Meru,9938,13615,30,Emergency,136,14855,5,1,0.719,0.623,1
20,Female,Kiambu,7407,39538,14,Business,134,8161,2,1,0.621,0.52,1
54,Female,Mombasa,24998,47499,60,Personal,155,20132,3,0,0.798,0.732,1
61,Female,Mombasa,46501,9528,14,School Fees,59,25069,1,0,0.609,0.667,1
61,Male,Kiambu,45396,41984,14,Personal,45,11388,0,0,0.873,0.797,1
47,Female,Mombasa,31760,42711,30,Personal,169,14357,1,0,0.565,0.625,0
55,Male,Machakos,16240,8188,14,Personal,143,18443,5,0,0.658,0.651,1
51,Female,Nairobi,35642,37509,30,Emergency,168,13362,2,0,0.46,0.578,0
29,Male,Meru,19570,42194,60,School Fees,19,18809,3,1,0.392,0.447,0
36,Female,Kiambu,15789,23755,14,Personal,105,5735,4,0,0.975,0.809,1
54,Male,Nairobi,5000,14711,60,Business,71,14815,3,0,0.78,0.697,0
61,Female,Machakos,26228,17052,60,School Fees,116,21324,2,1,0.852,0.661,1
34,Female,Meru,17441,47117,14,Farm Inputs,162,7162,3,0,0.462,0.554,1
27,Female,Mombasa,26157,42608,30,Business,61,13827,8,2,0.747,0.641,1
64,Female,Kisumu,5000,41759,30,Farm Inputs,194,5963,2,0,0.961,0.787,0
29,Male,Machakos,27037,12013,14,Personal,37,14490,4,2,0.714,0.573,1
33,Male,Kisumu,5000,5533,30,Emergency,69,20698,6,0,0.841,0.727,1
41,Male,Nairobi,38055,1021,30,Personal,5,12750,0,0,0.889,0.795,1
36,Female,Kiambu,31262,31324,60,Personal,135,20397,4,0,0.63,0.656,1
25,Female,Meru,21656,13756,30,Farm Inputs,13,22170,1,1,0.792,0.575,1
48,Female,Mombasa,31752,45044,30,Personal,36,2632,4,1,0.853,0.709,1
38,Female,Meru,13263,26793,14,Business,81,9870,2,0,0.67,0.653,1
34,Female,Machakos,25868,31107,60,Emergency,49,5765,3,0,0.379,0.524,1
40,Female,Mombasa,34537,13293,30,Farm Inputs,99,15722,1,0,0.769,0.73,1
54,Male,Kisumu,5000,25377,14,School Fees,189,22375,1,0,0.574,0.594,0
33,Male,Kisumu,19633,42112,30,Personal,25,17088,3,0,0.674,0.663,0
23,Male,Nakuru,24728,36569,60,Farm Inputs,27,17788,6,0,0.665,0.666,0
25,Male,Meru,22644,21043,60,Personal,158,12189,3,1,0.617,0.564,0
42,Male,Kiambu,42485,27713,60,Personal,121,19581,3,1,0.798,0.681,1
35,Male,Kisumu,11513,19163,60,Farm Inputs,108,16367,4,1,0.647,0.579,0
42,Male,Kiambu,17546,43082,60,Business,34,23655,3,1,0.817,0.657,0
29,Male,Nakuru,5000,29490,60,School Fees,119,16216,1,0,0.544,0.579,1
32,Female,Machakos,43123,34949,14,Personal,73,4707,3,0,0.791,0.753,1
43,Female,Nakuru,22044,13616,60,Business,156,6408,0,0,0.539,0.599,1
58,Female,Kiambu,19739,33359,30,Personal,78,7154,2,0,0.635,0.644,0
62,Female,Kisumu,24370,4206,30,Personal,68,11032,2,0,0.649,0.657,1
43,Female,Nairobi,32634,16647,30,Business,167,25576,1,0,0.922,0.804,0
64,Female,Kiambu,29168,34228,30,Personal,154,23052,4,1,0.499,0.528,1
49,Female,Mombasa,56774,21043,60,School Fees,43,17987,2,0,0.598,0.675,1
27,Male,Nairobi,30447,34111,60,Farm Inputs,59,20523,3,1,0.725,0.628,1
33,Male,Meru,19417,49870,14,Business,11,19905,3,1,0.663,0.582,1
24,Female,Kiambu,18263,9395,60,Emergency,194,22271,4,2,0.786,0.597,1
34,Male,Mombasa,20286,22912,30,Personal,43,7741,1,0,0.527,0.59,1
40,Male,Meru,6977,33514,14,Farm Inputs,152,23969,3,1,0.859,0.664,1
43,Male,Nakuru,25478,13751,14,School Fees,108,15670,3,1,0.609,0.563,1
38,Male,Nairobi,34401,45497,14,School Fees,188,17251,3,2,0.645,0.518,1
39,Male,Kiambu,17639,5609,14,Emergency,100,22849,2,0,0.672,0.659,1
24,Female,Machakos,15311,25132,60,School Fees,198,16969,4,0,1.0,0.82,1
31,Male,Nakuru,43191,30240,14,Farm Inputs,147,8932,1,0,0.635,0.675,1
32,Female,Mombasa,7882,12651,60,Emergency,153,13812,4,1,0.712,0.607,0
24,Female,Machakos,5000,46665,14,Business,38,19967,6,1,0.628,0.578,1
26,Female,Kisumu,11165,30233,60,Emergency,39,10809,2,0,0.909,0.769,1
25,Male,Nakuru,6514,6825,60,Business,119,11012,6,0,0.739,0.678,0
40,Female,Nakuru,29634,23191,30,School Fees,9,17414,1,0,0.542,0.611,1
46,Female,Kiambu,20671,29928,60,Farm Inputs,60,16273,5,1,0.638,0.597,0
35,Female,Kiambu,22363,10550,14,Personal,87,10503,1,0,0.778,0.719,1
48,Female,Mombasa,38835,2412,14,Emergency,11,24375,1,0,0.595,0.649,1
47,Male,Nakuru,16703,37489,60,School Fees,57,16473,2,1,0.745,0.595,0
56,Female,Kiambu,34301,7874,60,Farm Inputs,176,1000,2,0,0.478,0.585,0
52,Female,Kisumu,43135,33534,60,Personal,190,17894,5,1,1.0,0.808,1
35,Female,Meru,19532,47957,60,Emergency,110,19575,3,0,0.853,0.753,1
59,Female,Meru,33844,20366,30,Farm Inputs,46,19902,1,0,0.773,0.732,1
56,Male,Meru,22098,47178,30,School Fees,22,12016,4,1,0.732,0.636,1
34,Female,Kiambu,36089,26756,30,Emergency,10,8452,3,0,0.558,0.627,1
31,Female,Nakuru,6142,28269,30,Emergency,136,15265,2,0,0.649,0.633,1
48,Female,Meru,5253,10698,30,Business,146,16364,3,1,0.738,0.601,1
41,Female,Nairobi,20304,29781,60,Business,173,20341,3,1,0.629,0.567,1
52,Female,Machakos,14332,5064,30,Emergency,179,17366,3,0,0.715,0.677,1
61,Female,Nakuru,18799,37496,30,Farm Inputs,101,22728,4,0,0.308,0.479,1
62,Male,Kisumu,22365,7655,60,School Fees,57,23057,4,0,0.926,0.793,1
51,Female,Nakuru,33640,48452,60,Personal,25,15117,4,0,0.755,0.722,1
20,Male,Kisumu,20108,33585,14,Business,145,8224,1,0,0.601,0.627,0
54,Male,Nakuru,15113,1210,14,School Fees,198,22203,3,0,0.784,0.712,1
60,Female,Meru,20781,11888,14,Emergency,147,19060,4,1,0.736,0.636,1
57,Male,Machakos,15770,9142,30,School Fees,103,8071,4,1,0.759,0.641,1
43,Female,Machakos,13791,26957,60,School Fees,177,13403,4,0,0.505,0.571,1
40,Male,Kisumu,5643,18627,14,School Fees,88,7902,4,0,0.617,0.616,1
61,Female,Nakuru,25833,34591,14,Emergency,197,1446,2,1,0.648,0.558,0
56,Male,Machakos,18175,12252,30,Business,178,8167,3,0,0.724,0.686,1
32,Male,Mombasa,36595,4737,14,Personal,135,1000,5,0,0.734,0.716,1
21,Female,Nakuru,7631,3551,60,Farm Inputs,149,18300,4,0,0.464,0.542,1
46,Male,Machakos,18494,30669,60,Business,149,15351,4,0,0.906,0.778,1
39,Male,Nairobi,46754,21548,14,Personal,24,9125,2,1,0.58,0.553,1
42,Male,Nairobi,13724,43811,60,Emergency,8,20091,2,1,0.515,0.476,1
30,Male,Mombasa,22161,19588,14,Personal,79,4987,4,0,0.731,0.695,1
35,Male,Machakos,10409,6175,14,Emergency,19,23697,2,0,0.784,0.706,0
50,Female,Nairobi,8818,40055,60,Personal,61,11804,3,1,0.55,0.512,1
33,Male,Meru,43567,3140,60,Business,177,18025,5,0,0.54,0.628,0
62,Male,Nakuru,27052,12817,30,Emergency,31,7691,2,0,0.717,0.695,0
59,Female,Kiambu,26604,44908,30,School Fees,24,15855,2,1,0.835,0.653,0
61,Female,Machakos,5000,40644,14,Emergency,112,14248,3,0,0.814,0.714,1
19,Female,Mombasa,29304,41406,60,Emergency,83,12943,3,0,0.652,0.665,1
52,Male,Machakos,38889,38630,14,Personal,138,11758,1,1,0.712,0.558,1
59,Male,Kisumu,38793,33962,30,Emergency,22,17810,3,0,0.466,0.585,0
51,Male,Kisumu,33019,21137,14,Personal,90,8773,3,0,0.674,0.681,1
47,Male,Nairobi,11446,10885,60,Business,53,1231,3,0,0.796,0.713,1
30,Female,Kisumu,28757,15701,60,Emergency,156,14532,0,0,0.305,0.491,1
30,Female,Mombasa,33011,35036,30,School Fees,15,22434,4,0,0.787,0.738,1
35,Male,Nairobi,5000,25167,14,School Fees,150,3212,5,0,0.496,0.555,0
49,Male,Mombasa,11544,45884,14,Business,39,15574,2,0,0.507,0.569,1
49,Male,Nakuru,35657,671,60,School Fees,59,14984,4,1,0.748,0.661,0
52,Male,Mombasa,35512,36017,30,Personal,99,18802,1,0,0.598,0.646,0
56,Female,Kisumu,6417,36370,60,Emergency,32,15656,1,0,0.876,0.747,1
63,Female,Nakuru,34540,47875,60,Farm Inputs,92,10135,2,0,0.384,0.538,1
46,Male,Kisumu,26143,38482,30,Emergency,168,3684,1,1,0.721,0.545,0
46,Female,Mombasa,34372,33344,60,Emergency,113,15610,3,1,0.983,0.762,1
61,Male,Kisumu,17385,19082,14,Farm Inputs,28,10260,7,0,0.834,0.74,0
33,Male,Kisumu,32742,4737,14,School Fees,165,8979,2,1,0.573,0.53,1
61,Female,Kisumu,35125,30965,14,School Fees,120,15644,3,1,0.508,0.526,0
64,Male,Machakos,20783,6527,60,Emergency,169,7400,4,0,0.696,0.676,0
27,Female,Nakuru,25213,13741,30,School Fees,145,15828,3,0,0.567,0.617,0
47,Male,Nakuru,17217,10867,30,Personal,20,18737,6,2,0.58,0.527,0
42,Female,Meru,44819,27983,30,Personal,116,4473,4,0,0.549,0.634,1
56,Male,Nakuru,23556,15531,30,Farm Inputs,175,21752,1,0,0.672,0.668,0
37,Female,Meru,13935,35812,30,Emergency,77,14780,2,1,0.822,0.63,1
22,Male,Mombasa,16410,32523,60,Personal,54,22135,5,0,0.73,0.687,0
18,Male,Meru,26521,28688,30,Business,115,12778,3,1,0.505,0.513,0
47,Female,Meru,34039,49639,14,School Fees,17,27907,5,1,0.811,0.701,0
20,Male,Kiambu,8970,36125,60,Emergency,75,25270,2,0,0.419,0.522,1
62,Female,Mombasa,47171,34821,14,Personal,167,14940,4,1,0.649,0.627,1
31,Female,Nakuru,28704,6774,30,Farm Inputs,39,13883,6,0,0.865,0.771,1
47,Male,Nairobi,30597,13056,30,Personal,28,1000,3,0,0.553,0.617,1
21,Male,Kisumu,23833,42421,14,Business,185,13558,2,0,0.484,0.574,1
35,Male,Kisumu,25231,34895,14,Personal,43,16910,2,0,0.73,0.698,1
54,Male,Kiambu,23220,27043,60,Emergency,151,14886,3,1,0.641,0.577,0
42,Female,Nairobi,37213,12023,30,Farm Inputs,176,16283,1,0,0.903,0.801,1
18,Male,Machakos,24904,1574,30,Farm Inputs,130,18399,1,0,0.57,0.618,0
63,Male,Meru,34204,20088,30,Business,178,12906,3,0,0.541,0.616,1
32,Male,Mombasa,19793,14490,14,Emergency,177,16496,1,0,0.655,0.654,0
26,Female,Machakos,27347,32028,30,Business,164,10547,1,0,0.623,0.648,1
32,Male,Nairobi,15352,17912,60,Business,9,6494,5,0,0.872,0.757,1
41,Female,Kiambu,39598,17531,60,Business,80,26647,1,0,0.805,0.755,0
21,Male,Nairobi,14995,46293,14,Personal,108,6625,4,0,0.828,0.734,1
29,Female,Kiambu,21100,15337,14,School Fees,138,13109,1,1,0.699,0.527,1
54,Male,Machakos,21220,38571,60,Personal,86,20240,4,1,0.697,0.617,1
54,Male,Machakos,20752,48012,14,Emergency,11,13183,3,1,0.489,0.497,0
60,Female,Nairobi,33669,20046,14,Business,19,18979,7,0,0.628,0.659,0
23,Male,Nairobi,21200,47015,30,Business,77,22525,8,2,0.598,0.561,0
56,Male,Meru,41727,46375,60,School Fees,24,15506,4,0,0.647,0.679,1
63,Male,Kisumu,15178,17786,30,Farm Inputs,63,18226,2,1,0.513,0.477,1
41,Female,Kiambu,27032,10195,60,Business,8,18886,1,0,0.798,0.735,1
28,Male,Kisumu,15690,38344,30,Personal,110,9110,3,0,0.852,0.747,1
30,Female,Mombasa,30051,11554,60,Business,44,5262,3,0,0.814,0.747,0
51,Female,Mombasa,24808,3397,60,Emergency,69,29105,4,0,0.915,0.791,1
42,Female,Nairobi,23139,10037,60,School Fees,39,18052,2,0,0.761,0.711,1
24,Male,Machakos,39261,22446,14,Farm Inputs,48,8934,0,0,0.593,0.649,1
21,Female,Mombasa,17147,9181,30,Emergency,11,29632,2,0,0.757,0.702,1
25,Female,Mombasa,32038,8351,14,Personal,154,4591,4,0,1.0,0.843,1
37,Male,Kisumu,15772,25501,14,Emergency,27,8870,2,0,0.589,0.615,0
46,Female,Kisumu,26352,15085,60,Business,69,11713,1,0,0.879,0.775,1
62,Female,Meru,10653,40496,60,School Fees,92,21848,3,0,0.838,0.733,0
63,Male,Meru,17049,47538,14,Business,24,12275,5,0,0.705,0.675,1
27,Male,Mombasa,24014,48623,14,School Fees,36,14272,4,1,0.629,0.586,1
60,Female,Nairobi,46775,30617,14,Personal,101,6391,2,0,0.626,0.675,0
51,Male,Kisumu,26209,6095,60,Emergency,168,13820,4,0,0.934,0.802,0
43,Male,Mombasa,44856,24274,60,School Fees,150,13076,5,1,0.544,0.582,0
58,Male,Machakos,27643,49065,60,Emergency,101,3822,4,0,0.697,0.686,1
20,Female,Kisumu,20354,44191,30,School Fees,165,12769,3,1,0.491,0.498,0
23,Female,Mombasa,43472,10099,14,Business,73,8708,7,0,0.515,0.615,1
22,Male,Meru,30244,6962,14,School Fees,86,25066,5,0,0.844,0.762,1
22,Female,Kiambu,17287,13807,30,School Fees,13,16883,3,0,0.809,0.727,1
64,Male,Kisumu,30646,39636,14,Farm Inputs,46,25312,2,0,0.63,0.656,1
40,Male,Kiambu,21488,28031,14,Personal,131,1628,2,2,0.762,0.51,0
26,Male,Kisumu,5000,42674,14,Business,114,7758,4,1,0.583,0.538,0
52,Male,Kisumu,36231,37210,30,Business,136,9941,4,0,0.639,0.668,1
37,Male,Meru,38139,35068,30,Emergency,178,9317,2,1,0.488,0.495,1
59,Female,Nakuru,47055,14914,14,School Fees,76,17187,4,0,0.564,0.645,1
52,Female,Nakuru,30065,32223,60,School Fees,156,12987,4,0,0.893,0.786,0
35,Female,Kiambu,22015,29536,14,School Fees,76,7936,2,0,0.647,0.653,0
34,Female,Nairobi,35019,10761,14,Business,128,34915,2,1,0.584,0.539,1
41,Male,Mombasa,35197,2877,60,Farm Inputs,27,16342,7,0,0.597,0.645,0
20,Male,Nairobi,44659,40591,14,Emergency,111,1000,2,0,0.616,0.667,1
49,Female,Nairobi,24464,49494,14,School Fees,187,20084,4,2,0.613,0.519,0
52,Female,Nakuru,23013,1771,30,Farm Inputs,102,31817,1,0,0.695,0.678,0
55,Male,Mombasa,16413,38288,14,Personal,147,20092,1,0,0.749,0.696,1
30,Male,Nakuru,31449,45816,60,Business,55,7761,3,0,0.774,0.729,1
64,Male,Nakuru,6420,28919,30,Personal,127,11870,6,0,0.803,0.71,0
42,Female,Meru,34313,33702,30,Business,54,20689,2,1,0.81,0.651,1
26,Male,Nakuru,32054,20482,60,Emergency,179,8420,1,1,0.587,0.486,1
21,Male,Machakos,32020,4271,60,Personal,87,13921,4,0,0.623,0.654,0
31,Female,Nairobi,26658,15373,30,Emergency,29,8677,4,1,0.7,0.626,1
54,Female,Meru,43395,41994,14,Emergency,43,19127,4,1,0.731,0.663,1
51,Female,Meru,35463,41840,14,Emergency,72,20662,4,0,0.47,0.582,0
28,Male,Nairobi,17715,19034,30,Personal,178,24273,1,1,0.655,0.501,1
58,Male,Meru,17929,37392,14,Personal,76,22086,3,1,0.406,0.452,0
20,Female,Nairobi,14443,12617,30,Personal,123,24935,2,0,0.746,0.692,0
45,Male,Machakos,31615,6102,60,School Fees,110,26378,4,1,0.77,0.667,0
46,Male,Kisumu,12998,15921,14,Emergency,17,5217,3,0,0.578,0.606,1
26,Male,Meru,38000,32174,14,School Fees,170,9547,4,0,0.716,0.709,1
20,Female,Kiambu,40875,5667,30,Business,40,8599,3,0,0.63,0.669,0
42,Female,Kiambu,14451,5986,30,Personal,169,16150,4,1,0.718,0.618,0
51,Male,Machakos,22773,28692,14,Farm Inputs,174,10567,1,0,0.644,0.652,1
29,Male,Nairobi,25199,21306,14,Business,124,12325,2,1,0.916,0.692,1
59,Male,Kiambu,35607,10443,14,Emergency,113,22499,2,0,0.698,0.696,0
26,Male,Machakos,44312,5324,60,Emergency,128,18863,2,0,0.752,0.735,1
32,Female,Nakuru,5000,36383,14,School Fees,23,11525,3,1,0.646,0.555,0
57,Female,Mombasa,21181,718,14,Personal,41,20523,4,1,0.635,0.586,0
42,Male,Kiambu,21807,33393,30,Personal,105,17022,3,0,0.78,0.719,1
22,Male,Mombasa,8191,13669,60,Business,197,17047,3,0,0.614,0.618,0
28,Female,Nairobi,19178,49593,30,Business,89,19681,4,0,0.772,0.711,0
51,Male,Kiambu,30133,46958,14,Business,43,1000,6,0,0.682,0.681,1
41,Female,Machakos,21655,45874,60,Farm Inputs,158,8743,4,1,0.744,0.641,0
32,Male,Kisumu,6464,9915,14,Farm Inputs,46,7866,1,0,0.627,0.622,1
55,Female,Kiambu,59488,4680,60,Emergency,194,15227,8,0,0.686,0.722,0
25,Male,Kiambu,28194,38428,60,Emergency,57,20376,0,0,0.555,0.615,1
22,Male,Kiambu,26340,19654,60,Emergency,199,11384,2,0,0.802,0.736,1
43,Female,Kiambu,11824,33109,60,Personal,54,8455,3,1,0.617,0.549,0
35,Female,Machakos,28128,10266,60,Emergency,109,1000,5,0,0.513,0.594,0
23,Male,Machakos,23029,30558,60,School Fees,111,17589,2,0,0.551,0.606,0
54,Male,Kisumu,5000,2442,30,Business,161,6752,0,0,0.618,0.616,1
30,Female,Machakos,12156,12032,30,Personal,134,17128,6,1,0.781,0.664,1
45,Female,Machakos,34539,21341,14,Farm Inputs,22,8793,5,0,0.813,0.753,1
22,Male,Nairobi,48328,43874,60,Business,64,18881,4,2,0.677,0.583,0
30,Male,Meru,29405,30376,60,Emergency,120,17563,8,0,0.402,0.54,1
34,Female,Nairobi,38236,1754,30,Farm Inputs,146,2541,1,0,0.601,0.652,1
57,Female,Meru,23130,34255,14,Farm Inputs,122,21112,4,1,0.639,0.591,1
62,Female,Mombasa,23961,15423,14,Farm Inputs,172,17083,3,1,0.429,0.472,1
49,Female,Kisumu,38091,32182,30,Business,196,22582,2,0,0.488,0.595,1
46,Female,Meru,44953,41379,30,Personal,34,5287,2,0,0.727,0.723,1
20,Male,Nairobi,40613,24839,60,Business,33,7236,2,0,0.797,0.752,1
57,Male,Kisumu,12203,48092,30,School Fees,161,12282,1,1,0.784,0.558,1
51,Female,Kisumu,24196,45361,60,Emergency,23,13901,4,1,0.845,0.695,1
57,Male,Kiambu,28330,47008,14,Personal,94,13107,7,0,0.804,0.74,1
44,Male,Nakuru,21883,13618,60,Personal,114,1344,6,0,0.592,0.625,0
30,Female,Nakuru,29654,45179,30,Emergency,62,16856,4,2,0.581,0.51,0
62,Male,Nakuru,34846,48269,60,School Fees,120,13004,2,1,0.725,0.609,1
50,Male,Kisumu,37033,42777,60,Farm Inputs,44,12334,5,1,0.605,0.602,0
23,Male,Kiambu,45230,34639,30,Emergency,13,15118,3,0,0.672,0.696,1
41,Female,Mombasa,21046,13663,60,Farm Inputs,125,16701,1,0,0.873,0.764,1
36,Female,Mombasa,8631,33628,14,Emergency,114,14159,4,0,0.455,0.539,1
33,Male,Nakuru,29298,8604,60,Business,112,8206,3,1,0.287,0.407,1
57,Male,Mombasa,47605,14686,30,School Fees,163,5306,3,0,0.984,0.856,1
45,Male,Kiambu,19276,9049,30,School Fees,82,21172,4,2,0.648,0.53,0
50,Male,Nakuru,33242,32762,30,Emergency,99,8121,4,1,0.656,0.612,1
58,Male,Meru,33348,30578,60,School Fees,147,6275,0,0,0.458,0.574,0
30,Male,Meru,27297,24668,14,Farm Inputs,38,15148,6,0,0.397,0.535,1
60,Female,Kiambu,25083,28966,30,School Fees,66,18348,3,2,0.59,0.478,1
62,Male,Mombasa,13918,36051,30,School Fees,78,23875,1,0,0.734,0.686,1
42,Male,Nakuru,5000,33331,14,School Fees,61,8861,1,0,0.493,0.553,1
59,Female,Meru,11657,19112,30,Personal,153,9854,2,1,0.482,0.456,0
53,Male,Kiambu,20316,37117,60,Emergency,107,16446,1,0,0.527,0.591,0
44,Male,Machakos,38169,23216,30,Business,58,19483,3,1,0.648,0.6,0
55,Male,Meru,23762,32426,30,Business,169,10900,2,0,0.513,0.588,1
24,Male,Machakos,18771,4438,60,Personal,172,19591,2,1,0.911,0.681,1
22,Female,Kiambu,14308,42039,14,Personal,24,10794,4,0,0.549,0.594,1
60,Male,Kiambu,32881,23197,14,Business,113,15835,2,0,0.693,0.691,1
62,Female,Nairobi,41300,13109,30,Farm Inputs,150,5816,5,0,0.835,0.773,1
48,Male,Meru,37761,13983,60,Business,176,17934,0,0,0.88,0.79,1
40,Male,Nairobi,32273,11023,60,Business,188,18569,4,1,0.492,0.529,0
59,Female,Kisumu,7292,27489,14,Emergency,21,16397,2,1,0.316,0.367,0
27,Male,Meru,20779,35426,14,Business,46,1852,0,0,0.536,0.596,0
49,Female,Nakuru,48367,45229,14,Business,160,12210,2,0,0.522,0.625,0
60,Female,Kisumu,38463,39664,60,School Fees,25,17516,2,0,0.401,0.552,1
47,Female,Kisumu,6549,2783,60,Personal,169,9443,0,0,0.756,0.687,0
56,Male,Mombasa,24332,6736,60,Business,155,23435,4,0,0.741,0.703,1
48,Male,Machakos,29357,41077,30,Business,115,30931,0,0,0.356,0.517,0
35,Male,Mombasa,15854,45226,30,Farm Inputs,52,8845,3,1,0.52,0.506,0
53,Male,Nakuru,5000,3605,14,Business,63,19392,5,1,0.632,0.573,1
19,Female,Kiambu,26185,36820,14,Emergency,132,13916,3,0,0.805,0.737,1
31,Male,Nairobi,15546,20359,30,Farm Inputs,116,18121,9,0,0.641,0.641,0
30,Male,Nakuru,15593,2338,30,Business,56,14201,3,0,1.0,0.821,1
